policy_a,policy_b,intersection_count,jaccard
random,random,5,1.0
random,greedy,0,0.0
random,ucb,0,0.0
random,pi,0,0.0
random,ei,0,0.0
random,mes,0,0.0
greedy,random,0,0.0
greedy,greedy,5,1.0
greedy,ucb,0,0.0
greedy,pi,0,0.0
greedy,ei,0,0.0
greedy,mes,0,0.0
ucb,random,0,0.0
ucb,greedy,0,0.0
ucb,ucb,5,1.0
ucb,pi,0,0.0
ucb,ei,0,0.0
ucb,mes,0,0.0
pi,random,0,0.0
pi,greedy,0,0.0
pi,ucb,0,0.0
pi,pi,5,1.0
pi,ei,0,0.0
pi,mes,0,0.0
ei,random,0,0.0
ei,greedy,0,0.0
ei,ucb,0,0.0
ei,pi,0,0.0
ei,ei,5,1.0
ei,mes,0,0.0
mes,random,0,0.0
mes,greedy,0,0.0
mes,ucb,0,0.0
mes,pi,0,0.0
mes,ei,0,0.0
mes,mes,5,1.0
