Model,Threshold type,Accuracy,F1,ROC-AUC,PR-AUC,gmean,Brier,ECE-10,MCE-10,Threshold value
AP,fixed_0_5,0.7283968900407256,0.7762768740942811,0.8233640934634723,0.9059012789911401,0.7411723663120877,0.1778603936580345,0.13947853805543492,0.40557202689876465,0.5
AP,PR,0.7419104035542391,0.8284632034632035,0.8233640934634723,0.9059012789911401,0.5742832027989533,0.1778603936580345,0.13947853805543492,0.40557202689876465,0.2176353394985199
AP,ROC,0.7120696038504258,0.7499398242055443,0.8233640934634723,0.9059012789911401,0.7317760261553454,0.1778603936580345,0.13947853805543492,0.40557202689876465,0.5572410106658936
SP,fixed_0_5,0.8072195483154389,0.8471767394222673,0.8837423099674652,0.9396283057712418,0.8070187666177843,0.14043263419833726,0.138097929426492,0.5580773522456487,0.5
SP,PR,0.8235468345057386,0.8705755140923396,0.8837423099674652,0.9396283057712418,0.7860705867379923,0.14043263419833726,0.138097929426492,0.5580773522456487,0.3462018609046936
SP,ROC,0.7854128100703444,0.8233725319958735,0.8837423099674652,0.9396283057712418,0.792164929496379,0.14043263419833726,0.138097929426492,0.5580773522456487,0.5973454117774963
AP_SP,fixed_0_5,0.8044057756386523,0.8478249724009919,0.8673479739721977,0.9355729098491186,0.7922371102104722,0.14810682379015133,0.12319052811423767,0.5547898093859354,0.5
AP_SP,PR,0.8180303591262496,0.8685705999344627,0.8673479739721977,0.9355729098491186,0.7689896567636815,0.14810682379015133,0.12319052811423767,0.5547898093859354,0.28042432963848113
AP_SP,ROC,0.793557941503147,0.8305350513683848,0.8673479739721977,0.9355729098491186,0.802977454922613,0.14810682379015133,0.12319052811423767,0.5547898093859354,0.641578221321106
TSNE_SP,fixed_0_5,0.6820436875231396,0.7164290227148424,0.761999852114759,0.8903618729804957,0.7163976256440991,0.1979557580335624,0.1535456160353052,0.48907783745191036,0.5
TSNE_SP,PR,0.6901517956312477,0.7923609250463469,0.761999852114759,0.8903618729804957,0.49380816959394835,0.1979557580335624,0.1535456160353052,0.48907783745191036,0.2964243769645691
TSNE_SP,ROC,0.6657904479822288,0.6870268124919288,0.761999852114759,0.8903618729804957,0.7055038981796866,0.1979557580335624,0.1535456160353052,0.48907783745191036,0.5739055633544922
TSNE_AP_SP,fixed_0_5,0.771714179933358,0.8129856103119154,0.8566681455190773,0.9216891454195023,0.7870076184174658,0.15899133541274088,0.14385081306237812,0.4955383706092834,0.5
TSNE_AP_SP,PR,0.7799703813402443,0.8424525681508325,0.8566681455190773,0.9216891454195023,0.7153374164025201,0.15899133541274088,0.14385081306237812,0.4955383706092834,0.30503598153591155
TSNE_AP_SP,ROC,0.752795261014439,0.7939698289330508,0.8566681455190773,0.9216891454195023,0.7735085010489193,0.15899133541274088,0.14385081306237812,0.4955383706092834,0.5516981422901154
