mode,setup,outer_fold_id,inner_fold_id,replay_seed_size,initial_label_count,strategy,round_id,probability_type,Brier,ECE_10,MCE_10
ablation,ensemble_calibrated,1,1,10,10,random,0,raw,0.1672813536405362,0.09289897303965125,0.161738942861557
ablation,ensemble_calibrated,1,1,10,10,random,0,calibrated,0.1636577177116027,0.07914072680448492,0.34901250273132767
ablation,ensemble_calibrated,1,1,10,10,random,1,raw,0.172353271729905,0.0819592028351153,0.22889776051044464
ablation,ensemble_calibrated,1,1,10,10,random,1,calibrated,0.1713128637998712,0.149658336793919,0.39861814758189
ablation,ensemble_calibrated,1,1,10,10,random,2,raw,0.16610923059730928,0.10458458561008262,0.2301325092713037
ablation,ensemble_calibrated,1,1,10,10,random,2,calibrated,0.1650119562246092,0.10303442310655694,0.2151103743094543
ablation,ensemble_calibrated,1,1,10,10,random,3,raw,0.17075382442288423,0.15200436549671625,0.30722746402025225
ablation,ensemble_calibrated,1,1,10,10,random,3,calibrated,0.16867380166952714,0.08711952641208892,0.3236129323240385
ablation,ensemble_calibrated,1,1,10,10,random,4,raw,0.1600930701339556,0.14047704283463752,0.4028239071369171
ablation,ensemble_calibrated,1,1,10,10,random,4,calibrated,0.1589883524409572,0.08370241264474804,0.3322713141446782
ablation,ensemble_calibrated,1,1,10,10,random,5,raw,0.16085720616110263,0.10186113535852753,0.3058361366391182
ablation,ensemble_calibrated,1,1,10,10,random,5,calibrated,0.1599269725717922,0.10904190867584743,0.25895074384428385
ablation,ensemble_calibrated,1,1,10,10,random,6,raw,0.1361163485387,0.09318402809864382,0.3268367456893126
ablation,ensemble_calibrated,1,1,10,10,random,6,calibrated,0.13827188016919345,0.10446949511817599,0.36151622122101157
ablation,ensemble_calibrated,1,1,10,10,random,7,raw,0.1530244891944392,0.0746200403924716,0.22663705497980113
ablation,ensemble_calibrated,1,1,10,10,random,7,calibrated,0.1515710081625815,0.14003999280586285,0.46421640662284086
ablation,ensemble_calibrated,1,1,10,10,random,8,raw,0.1516449247453941,0.15903034051090986,0.47745449244976046
ablation,ensemble_calibrated,1,1,10,10,random,8,calibrated,0.15152813427143158,0.16748070123494094,0.6703991261558225
ablation,ensemble_calibrated,1,1,10,10,random,9,raw,0.1598346831163926,0.11006115816407283,0.6599910318851472
ablation,ensemble_calibrated,1,1,10,10,random,9,calibrated,0.1571208146636761,0.1307334064811401,0.42089297283823957
ablation,ensemble_calibrated,1,1,10,10,random,10,raw,0.1511858067603346,0.12635741592463792,0.5726332008838654
ablation,ensemble_calibrated,1,1,10,10,random,10,calibrated,0.15043117104759454,0.10870331247019746,0.5189005970788045
ablation,ensemble_calibrated,1,1,10,10,random,11,raw,0.14371596131064993,0.07864038838168316,0.34143756826718646
ablation,ensemble_calibrated,1,1,10,10,random,11,calibrated,0.14422045492792068,0.07279959342009672,0.21999804876349727
ablation,ensemble_calibrated,1,1,10,10,random,12,raw,0.15352414819939578,0.08452002264685549,0.6407534778118134
ablation,ensemble_calibrated,1,1,10,10,random,12,calibrated,0.15420752049629088,0.07994450197503566,0.6749799937819503
ablation,ensemble_calibrated,1,1,10,10,random,13,raw,0.15482552174187092,0.11823131242545988,0.42545014023780825
ablation,ensemble_calibrated,1,1,10,10,random,13,calibrated,0.15390572259768473,0.10927495211492115,0.35787341524322436
ablation,ensemble_calibrated,1,1,10,10,random,14,raw,0.15126861525658172,0.09320913386546958,0.17352914094924932
ablation,ensemble_calibrated,1,1,10,10,random,14,calibrated,0.15165496072667312,0.1039188964539489,0.27438943161897855
ablation,ensemble_calibrated,1,1,10,10,random,15,raw,0.147356454187558,0.08178678389828083,0.34930974990129465
ablation,ensemble_calibrated,1,1,10,10,random,15,calibrated,0.14621789430704016,0.057933454323981955,0.3166373693862724
ablation,ensemble_calibrated,1,1,10,10,random,16,raw,0.1542008777136841,0.1091156817088693,0.3448908547560375
ablation,ensemble_calibrated,1,1,10,10,random,16,calibrated,0.1553692526440599,0.10204726684540387,0.30510557796045457
ablation,ensemble_calibrated,1,1,10,10,random,17,raw,0.15604735890656748,0.07817687079057853,0.24007277786731707
ablation,ensemble_calibrated,1,1,10,10,random,17,calibrated,0.15541827505747047,0.09232280430266268,0.26018569415800874
ablation,ensemble_calibrated,1,1,10,10,random,18,raw,0.15364142303373332,0.10797057858968187,0.23929067850112923
ablation,ensemble_calibrated,1,1,10,10,random,18,calibrated,0.15301978196420676,0.10794817628464749,0.2910286685686944
ablation,ensemble_calibrated,1,1,10,10,random,19,raw,0.1506777156251504,0.09986757545147912,0.182101652622223
ablation,ensemble_calibrated,1,1,10,10,random,19,calibrated,0.1513026397891995,0.09719747934962616,0.4686801767978418
ablation,ensemble_calibrated,1,1,10,10,random,20,raw,0.15191187263836842,0.08599737981113334,0.45215779542922974
ablation,ensemble_calibrated,1,1,10,10,random,20,calibrated,0.1515468532135853,0.0979015053279558,0.2400079931028275
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,0,raw,0.1672813536405362,0.09289897303965125,0.161738942861557
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,0,calibrated,0.1636577177116027,0.07914072680448492,0.34901250273132767
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,1,raw,0.16665122386603848,0.11388525884535353,0.323228257521987
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,1,calibrated,0.16739534365954442,0.08012770268782379,0.2425040591146706
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,2,raw,0.1868831339219983,0.11616158404592733,0.8048268288373948
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,2,calibrated,0.17695620239444554,0.052200763418280414,0.7223593141749236
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,3,raw,0.19296875769043137,0.11959127303907427,0.20682014524936676
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,3,calibrated,0.17889390648903558,0.056979534142429775,0.22817285413429922
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,4,raw,0.1856244704309599,0.10867862362982866,0.2168747688333193
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,4,calibrated,0.17957454259980568,0.06914371881673166,0.27805333159648216
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,5,raw,0.20408417283077068,0.21176595384791744,0.2922696709632874
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,5,calibrated,0.1781034467401437,0.09124024291455851,0.3543611455083527
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,6,raw,0.20326467424701258,0.12336619546857927,0.29166278157915393
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,6,calibrated,0.18634335829792656,0.1000967189220798,0.4509018547554209
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,7,raw,0.19132420587724364,0.1380037928789349,0.22400926947593702
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,7,calibrated,0.18156179806852274,0.07294416003810553,0.38431944905037774
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,8,raw,0.16216876730092197,0.1261285356987836,0.4098151683807373
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,8,calibrated,0.16414710293429302,0.11870803425814885,0.27599181158651154
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,9,raw,0.19166351647051272,0.14683359376454758,0.3487926733493806
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,9,calibrated,0.1747816509848938,0.129042957756473,0.25092977041073344
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,10,raw,0.1829129235530653,0.13381115256224646,0.4700091205537319
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,10,calibrated,0.17592059601544996,0.152403932262491,0.3639367935499447
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,11,raw,0.18267916627096753,0.18755157877833156,0.35329275910670943
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,11,calibrated,0.1703962073447098,0.15933593089570963,0.5799779431447447
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,12,raw,0.1926542193851302,0.1880988017987397,0.2807177299802954
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,12,calibrated,0.16978467161615646,0.09212158504174306,0.39443119160353163
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,13,raw,0.18651657622146262,0.13807621583089988,0.8132382705807686
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,13,calibrated,0.1680263313030828,0.096955782595452,0.7076359365882654
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,14,raw,0.1841167865187688,0.16264922469854354,0.3411449571450551
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,14,calibrated,0.16453256301973782,0.11336788341852501,0.3367319860598055
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,15,raw,0.1910919087360599,0.18072167493529243,0.2725069100206549
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,15,calibrated,0.17084603217568017,0.11317566462763355,0.25759780864735726
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,16,raw,0.1828326528010551,0.1809424433667781,0.2416918802261353
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,16,calibrated,0.1624132118676285,0.09784312420740279,0.25375420508196467
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,17,raw,0.1986445772208489,0.1634578306291063,0.30761587545275687
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,17,calibrated,0.16866879676890748,0.10510626320177796,0.2976174249520039
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,18,raw,0.20017364411917876,0.16992236537448432,0.3023692568143209
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,18,calibrated,0.1682389284282588,0.07549108027434882,0.22642528968285686
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,19,raw,0.14138219171521238,0.1256919509652307,0.2867021542042494
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,19,calibrated,0.14176467770360246,0.09682374599262977,0.24472634517965774
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,20,raw,0.12945094598596193,0.09195077175085072,0.44337719976902007
ablation,ensemble_calibrated,1,1,10,10,ensemble_mean,20,calibrated,0.13338876057920065,0.11328923237061586,0.5443922410858797
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,0,raw,0.1672813536405362,0.09289897303965125,0.161738942861557
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,0,calibrated,0.1636577177116027,0.07914072680448492,0.34901250273132767
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,1,raw,0.16582036308603446,0.126476772659916,0.25309079736471174
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,1,calibrated,0.16154330693021232,0.12088314880883069,0.33486008739145945
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,2,raw,0.17805376531776296,0.07751201992317777,0.16481470380510588
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,2,calibrated,0.17813469223340717,0.15440510326712104,0.3432134149527922
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,3,raw,0.17068922000103812,0.12404080644502488,0.30921896696090695
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,3,calibrated,0.17001792176376324,0.17185968125414505,0.37215316716617086
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,4,raw,0.1378403523735284,0.09677747581469812,0.6207773864269257
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,4,calibrated,0.1363143995164295,0.10382502929305322,0.6088041555900744
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,5,raw,0.1516111493897725,0.159577094599352,0.4576539501547813
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,5,calibrated,0.15170757082951597,0.13385185035140237,0.3583618059369291
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,6,raw,0.16661660489996238,0.10189565685340912,0.5673693686723709
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,6,calibrated,0.16591184786793223,0.10680809317396668,0.32556806033096447
ablation,ensemble_calibrated,1,1,10,10,predictive_entropy,7,raw,0.16535552546603668,0.11705470201322585,0.3725721142121724
