mode,initial_label_count,setup,strategy,evaluation_dataset,target_f1,n_repeats,mean_labels_to_target,median_labels_to_target,reached_count
benchmark,10,ensemble_calibrated,cluster_diverse_representative,holdout,0.8,5,22.0,15.0,5
benchmark,10,ensemble_calibrated,cluster_diverse_representative,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,ensemble_mean,holdout,0.8,5,25.0,25.0,5
benchmark,10,ensemble_calibrated,ensemble_mean,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,ensemble_mi,holdout,0.8,5,16.0,20.0,5
benchmark,10,ensemble_calibrated,ensemble_mi,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,family_qbc,holdout,0.8,5,21.0,15.0,5
benchmark,10,ensemble_calibrated,family_qbc,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,hybrid_mi_diverse,holdout,0.8,5,14.0,15.0,5
benchmark,10,ensemble_calibrated,hybrid_mi_diverse,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,oed_logdet,holdout,0.8,5,17.0,15.0,5
benchmark,10,ensemble_calibrated,oed_logdet,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,predictive_entropy,holdout,0.8,5,21.0,15.0,5
benchmark,10,ensemble_calibrated,predictive_entropy,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,random,holdout,0.8,5,27.0,20.0,5
benchmark,10,ensemble_calibrated,random,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,similarity_penalized_mean,holdout,0.8,5,41.0,40.0,5
benchmark,10,ensemble_calibrated,similarity_penalized_mean,validation,0.8,5,10.0,10.0,5
benchmark,10,ensemble_calibrated,ucb,holdout,0.8,5,22.5,17.5,4
benchmark,10,ensemble_calibrated,ucb,validation,0.8,5,10.0,10.0,5
benchmark,40,ensemble_calibrated,cluster_diverse_representative,holdout,0.8,5,45.0,40.0,5
benchmark,40,ensemble_calibrated,cluster_diverse_representative,validation,0.8,5,40.0,40.0,5
