step,run_id,start_timestamp,end_timestamp,walltime_seconds,hostname,command,exit_status,output_artifacts,outer_fold,initial_label_count,strategy
phase5-self-paced-replay,predictive_entropy,2026-06-22T10:34:56+0200,2026-06-22T11:04:23+0200,1766.774715,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 1 --inner-fold 1 --initial-label-count 10 --strategy predictive_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],1,10,predictive_entropy
phase5-self-paced-replay,random,2026-06-22T10:03:37+0200,2026-06-22T10:34:36+0200,1858.780005,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 1 --inner-fold 1 --initial-label-count 10 --strategy random --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],1,10,random
phase5-self-paced-replay,self_paced_entropy,2026-06-22T11:04:41+0200,2026-06-22T11:33:08+0200,1706.029044,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 1 --inner-fold 1 --initial-label-count 10 --strategy self_paced_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],1,10,self_paced_entropy
phase5-self-paced-replay,static_easy_entropy,2026-06-22T10:40:31+0200,2026-06-22T11:09:10+0200,1719.037962,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 1 --inner-fold 1 --initial-label-count 10 --strategy static_easy_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],1,10,static_easy_entropy
phase5-self-paced-replay,predictive_entropy,2026-06-22T11:11:08+0200,2026-06-22T11:39:19+0200,1690.910975,x8000c2s0b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 2 --inner-fold 1 --initial-label-count 10 --strategy predictive_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],2,10,predictive_entropy
phase5-self-paced-replay,random,2026-06-22T11:09:28+0200,2026-06-22T11:38:18+0200,1730.003169,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 2 --inner-fold 1 --initial-label-count 10 --strategy random --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],2,10,random
phase5-self-paced-replay,self_paced_entropy,2026-06-22T11:33:25+0200,2026-06-22T12:01:53+0200,1707.930405,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 2 --inner-fold 1 --initial-label-count 10 --strategy self_paced_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],2,10,self_paced_entropy
phase5-self-paced-replay,static_easy_entropy,2026-06-22T11:18:36+0200,2026-06-22T11:46:47+0200,1690.853585,x8000c1s5b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 2 --inner-fold 1 --initial-label-count 10 --strategy static_easy_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],2,10,static_easy_entropy
phase5-self-paced-replay,predictive_entropy,2026-06-22T11:39:39+0200,2026-06-22T12:07:56+0200,1697.014955,x8000c2s0b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 3 --inner-fold 1 --initial-label-count 10 --strategy predictive_entropy --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],3,10,predictive_entropy
phase5-self-paced-replay,random,2026-06-22T11:38:35+0200,2026-06-22T12:06:57+0200,1702.144969,x8000c2s7b0n0,<supek_repo>/active_learning_thesis/__main__.py phase5-self-paced run-job --phase1-root <supek_repo>/thesis_results/01_reproduction --phase2-root <supek_repo>/thesis_results/02_replay --output-root <supek_repo>/thesis_results/05_self_paced_active_learning --outer-fold 3 --inner-fold 1 --initial-label-count 10 --strategy random --batch-size 5 --max-rounds 45 --ensemble-size 1 --base-seed 20260317,success,[],3,10,random
