initial_label_count,strategy,target_f1,fold_count,reach_count,reach_fraction,conditional_mean_labels_to_target,conditional_std_labels_to_target
10,predictive_entropy,0.8,3,3,1.0,33.333333333333336,25.166114784235834
10,predictive_entropy,0.84,3,3,1.0,56.666666666666664,17.559422921421234
10,predictive_entropy,0.86,3,3,1.0,105.0,26.457513110645905
10,random,0.8,3,3,1.0,23.333333333333332,15.275252316519467
10,random,0.84,3,3,1.0,71.66666666666667,2.8867513459481287
10,random,0.86,3,2,0.6666666666666666,112.5,38.890872965260115
10,self_paced_entropy,0.8,3,3,1.0,38.333333333333336,40.72263907623539
10,self_paced_entropy,0.84,3,3,1.0,71.66666666666667,11.547005383792516
10,self_paced_entropy,0.86,3,3,1.0,71.66666666666667,11.547005383792516
10,static_easy_entropy,0.8,3,3,1.0,53.333333333333336,66.58328118479393
10,static_easy_entropy,0.84,3,3,1.0,75.0,49.24428900898052
10,static_easy_entropy,0.86,3,2,0.6666666666666666,102.5,60.10407640085654
