mode,setup,outer_fold_id,inner_fold_id,initial_label_count,strategy,round_id,replay_point,labeled_count,evaluation_dataset,accuracy,precision,recall,f1,balanced_accuracy,gmean,roc_auc,pr_auc,brier_score,log_loss,ece_10,mce_10,decision_threshold,threshold_strategy,threshold_selection_f1,threshold_source,accuracy_fixed_0_5,precision_fixed_0_5,recall_fixed_0_5,f1_fixed_0_5,balanced_accuracy_fixed_0_5,gmean_fixed_0_5,outer_fold
phase5,single_calibrated,1,1,10,predictive_entropy,0,0,10,validation,0.7796610169491526,0.8461538461538461,0.825,0.8354430379746836,0.7546052631578948,0.7513146372928764,0.8144736842105263,0.9133709796088518,0.1616215390359169,0.47947228267400843,0.08448841044002389,0.2593962942708259,0.5401022175916722,pr_best_f1,0.8354430379746836,validation,0.7457627118644068,0.8048780487804879,0.825,0.8148148148148149,0.7019736842105263,0.6911089486812976,1
phase5,single_calibrated,1,1,10,predictive_entropy,0,0,10,holdout,0.6081081081081081,0.8,0.56,0.6588235294117648,0.6341666666666668,0.6298147875897062,0.6566666666666666,0.7880493063313012,0.23369393491998217,0.6645168275637124,0.17573851822662626,0.35367105377324637,0.5401022175916722,pr_best_f1,0.6588235294117648,validation,0.6486486486486487,0.8157894736842105,0.62,0.7045454545454546,0.6641666666666667,0.6626965117357014,1
phase5,single_calibrated,1,1,10,predictive_entropy,1,1,15,validation,0.8305084745762712,0.8947368421052632,0.85,0.8717948717948718,0.8197368421052631,0.8191780219091253,0.8276315789473684,0.9112357250759058,0.15424634418790636,0.47433011866578056,0.1168120521505395,0.4883369019514292,0.6254393727155177,pr_best_f1,0.8717948717948718,validation,0.7796610169491526,0.813953488372093,0.875,0.8433734939759036,0.7269736842105263,0.7117435966472906,1
phase5,single_calibrated,1,1,10,predictive_entropy,1,1,15,holdout,0.5945945945945946,0.7777777777777778,0.56,0.6511627906976745,0.6133333333333333,0.6110100926607787,0.6541666666666667,0.812879268510776,0.23945602258792925,0.6812041195690693,0.1692314304987815,0.5047730711380887,0.6254393727155177,pr_best_f1,0.6511627906976745,validation,0.6621621621621622,0.7777777777777778,0.7,0.7368421052631577,0.6416666666666666,0.6390096504226938,1
phase5,single_calibrated,1,1,10,predictive_entropy,2,2,20,validation,0.8135593220338984,0.8536585365853658,0.875,0.8641975308641976,0.7796052631578947,0.7737468646310083,0.8328947368421052,0.9044331236224461,0.15064398115062497,0.4610499246006365,0.062362375592916325,0.3674839153496141,0.4493342401542968,pr_best_f1,0.8641975308641976,validation,0.7627118644067796,0.8611111111111112,0.775,0.8157894736842106,0.7559210526315789,0.7556802442693255,1
phase5,single_calibrated,1,1,10,predictive_entropy,2,2,20,holdout,0.7162162162162162,0.8536585365853658,0.7,0.7692307692307692,0.725,0.7245688373094719,0.71,0.8404979910139141,0.22040805902171726,0.6248820084871045,0.16530317808628142,0.3530476996532401,0.4493342401542968,pr_best_f1,0.7692307692307692,validation,0.5675675675675675,0.8,0.48,0.6,0.615,0.6,1
phase5,single_calibrated,1,1,10,predictive_entropy,3,3,25,validation,0.7796610169491526,0.8,0.9,0.8470588235294118,0.7131578947368421,0.6882472016116853,0.7934210526315789,0.8678363094394945,0.16420155979944348,0.5031435325995088,0.05393243933627753,0.2524482843745173,0.46769287580516145,pr_best_f1,0.8470588235294118,validation,0.7796610169491526,0.813953488372093,0.875,0.8433734939759036,0.7269736842105263,0.7117435966472906,1
phase5,single_calibrated,1,1,10,predictive_entropy,3,3,25,holdout,0.581081081081081,0.7317073170731707,0.6,0.6593406593406594,0.5708333333333333,0.5700877125495689,0.675,0.7893767620761549,0.21927022080736092,0.6283436512783395,0.16900539872755868,0.36200655018007,0.46769287580516145,pr_best_f1,0.6593406593406594,validation,0.5675675675675675,0.7647058823529411,0.52,0.6190476190476191,0.5933333333333333,0.5887840577551898,1
phase5,single_calibrated,1,1,10,predictive_entropy,4,4,30,validation,0.7796610169491526,0.8292682926829268,0.85,0.8395061728395061,0.7407894736842104,0.7326950970650465,0.7934210526315789,0.9103125168910389,0.1727370565608171,0.5107821473654564,0.08134806565117088,0.2343083342525764,0.5539661096555919,pr_best_f1,0.8395061728395061,validation,0.7288135593220338,0.7727272727272727,0.85,0.8095238095238095,0.6618421052631579,0.6345325672866353,1
phase5,single_calibrated,1,1,10,predictive_entropy,4,4,30,holdout,0.6081081081081081,0.7837837837837838,0.58,0.6666666666666666,0.6233333333333333,0.6218252702059209,0.6583333333333333,0.7863279219790454,0.22726530720150082,0.6459082759212859,0.2008505766521032,0.44731928358958273,0.5539661096555919,pr_best_f1,0.6666666666666666,validation,0.6081081081081081,0.7692307692307693,0.6,0.6741573033707865,0.6125,0.6123724356957945,1
