outer_fold,initial_label_count,interval_start,interval_end,aulc_scope,comparison,left_aulc_f1,right_aulc_f1,delta_aulc_f1
1,10,10,60,partial,self_paced_entropy - predictive_entropy,0.7009761362247109,0.7000506528790977,0.0009254833456131539
1,10,10,60,partial,self_paced_entropy - static_easy_entropy,0.7009761362247109,0.704361489226234,-0.003385353001523095
1,10,10,60,partial,self_paced_entropy - random,0.7009761362247109,0.7346668154681779,-0.033690679243467025
1,10,10,60,partial,static_easy_entropy - predictive_entropy,0.704361489226234,0.7000506528790977,0.004310836347136249
1,10,10,110,partial,self_paced_entropy - predictive_entropy,0.7442998955434728,0.7566209893247549,-0.0123210937812821
1,10,10,110,partial,self_paced_entropy - static_easy_entropy,0.7442998955434728,0.7081525187717539,0.036147376771718864
1,10,10,110,partial,self_paced_entropy - random,0.7442998955434728,0.759831024617888,-0.015531129074415229
1,10,10,110,partial,static_easy_entropy - predictive_entropy,0.7081525187717539,0.7566209893247549,-0.048468470553000964
1,10,10,160,partial,self_paced_entropy - predictive_entropy,0.7687000867034625,0.7810882119006559,-0.012388125197193456
1,10,10,160,partial,self_paced_entropy - static_easy_entropy,0.7687000867034625,0.7225870385480797,0.04611304815538275
1,10,10,160,partial,self_paced_entropy - random,0.7687000867034625,0.7754993131915485,-0.006799226488086063
1,10,10,160,partial,static_easy_entropy - predictive_entropy,0.7225870385480797,0.7810882119006559,-0.05850117335257621
1,10,10,235,full,self_paced_entropy - predictive_entropy,0.7780142951035215,0.7883812997231667,-0.010367004619645237
1,10,10,235,full,self_paced_entropy - static_easy_entropy,0.7780142951035215,0.7379191090715626,0.04009518603195894
1,10,10,235,full,self_paced_entropy - random,0.7780142951035215,0.7860958396223751,-0.008081544518853567
1,10,10,235,full,static_easy_entropy - predictive_entropy,0.7379191090715626,0.7883812997231667,-0.05046219065160418
2,10,10,60,partial,self_paced_entropy - predictive_entropy,0.8062477956061294,0.8221639457347323,-0.015916150128602924
2,10,10,60,partial,self_paced_entropy - static_easy_entropy,0.8062477956061294,0.8124496188038719,-0.00620182319774254
2,10,10,60,partial,self_paced_entropy - random,0.8062477956061294,0.8072187473130288,-0.0009709517068994256
2,10,10,60,partial,static_easy_entropy - predictive_entropy,0.8124496188038719,0.8221639457347323,-0.009714326930860384
2,10,10,110,partial,self_paced_entropy - predictive_entropy,0.8164247740668809,0.8334761572496947,-0.01705138318281385
2,10,10,110,partial,self_paced_entropy - static_easy_entropy,0.8164247740668809,0.8161113063220543,0.0003134677448265455
2,10,10,110,partial,self_paced_entropy - random,0.8164247740668809,0.8241026013159325,-0.007677827249051639
2,10,10,110,partial,static_easy_entropy - predictive_entropy,0.8161113063220543,0.8334761572496947,-0.017364850927640396
2,10,10,160,partial,self_paced_entropy - predictive_entropy,0.8236682975821856,0.8385650958415066,-0.014896798259320998
2,10,10,160,partial,self_paced_entropy - static_easy_entropy,0.8236682975821856,0.8198629620241905,0.0038053355579951154
2,10,10,160,partial,self_paced_entropy - random,0.8236682975821856,0.8341867673109075,-0.010518469728721835
2,10,10,160,partial,static_easy_entropy - predictive_entropy,0.8198629620241905,0.8385650958415066,-0.018702133817316113
2,10,10,235,full,self_paced_entropy - predictive_entropy,0.8318989643443396,0.8418569992351742,-0.009958034890834577
2,10,10,235,full,self_paced_entropy - static_easy_entropy,0.8318989643443396,0.825064006422623,0.006834957921716622
2,10,10,235,full,self_paced_entropy - random,0.8318989643443396,0.839552911626102,-0.0076539472817623855
2,10,10,235,full,static_easy_entropy - predictive_entropy,0.825064006422623,0.8418569992351742,-0.0167929928125512
3,10,10,60,partial,self_paced_entropy - predictive_entropy,0.7989930599087052,0.8097201024473898,-0.010727042538684617
3,10,10,60,partial,self_paced_entropy - static_easy_entropy,0.7989930599087052,0.800036146784732,-0.001043086876026833
3,10,10,60,partial,self_paced_entropy - random,0.7989930599087052,0.7915105196214378,0.0074825402872673585
3,10,10,60,partial,static_easy_entropy - predictive_entropy,0.800036146784732,0.8097201024473898,-0.009683955662657784
3,10,10,110,partial,self_paced_entropy - predictive_entropy,0.8224402405141537,0.8246234558178179,-0.0021832153036642765
3,10,10,110,partial,self_paced_entropy - static_easy_entropy,0.8224402405141537,0.8294595180747661,-0.007019277560612491
3,10,10,110,partial,self_paced_entropy - random,0.8224402405141537,0.8106340698586494,0.011806170655504267
3,10,10,110,partial,static_easy_entropy - predictive_entropy,0.8294595180747661,0.8246234558178179,0.004836062256948215
3,10,10,160,partial,self_paced_entropy - predictive_entropy,0.8307241589574715,0.8353666891960327,-0.004642530238561204
3,10,10,160,partial,self_paced_entropy - static_easy_entropy,0.8307241589574715,0.8319255182151233,-0.0012013592576517462
3,10,10,160,partial,self_paced_entropy - random,0.8307241589574715,0.8206029887330802,0.010121170224391296
3,10,10,160,partial,static_easy_entropy - predictive_entropy,0.8319255182151233,0.8353666891960327,-0.003441170980909458
3,10,10,235,full,self_paced_entropy - predictive_entropy,0.8340656278043802,0.8367718628982185,-0.0027062350938382718
3,10,10,235,full,self_paced_entropy - static_easy_entropy,0.8340656278043802,0.8417238178103733,-0.007658190005993104
3,10,10,235,full,self_paced_entropy - random,0.8340656278043802,0.8255909483127416,0.008474679491638604
3,10,10,235,full,static_easy_entropy - predictive_entropy,0.8417238178103733,0.8367718628982185,0.004951954912154832
