outer_fold,initial_label_count,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,strategy_a,strategy_b,jaccard
1,10,15,batch,False,False,random,random,1.0
1,10,15,batch,False,False,random,predictive_entropy,0.0
1,10,15,batch,False,False,random,static_easy_entropy,0.0
1,10,15,batch,False,False,random,self_paced_entropy,0.0
1,10,15,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,15,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,15,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,15,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,15,batch,False,False,static_easy_entropy,self_paced_entropy,1.0
1,10,15,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,15,cumulative,False,False,random,random,1.0
1,10,15,cumulative,False,False,random,predictive_entropy,0.0
1,10,15,cumulative,False,False,random,static_easy_entropy,0.0
1,10,15,cumulative,False,False,random,self_paced_entropy,0.0
1,10,15,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,15,cumulative,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,15,cumulative,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,15,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,15,cumulative,False,False,static_easy_entropy,self_paced_entropy,1.0
1,10,15,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,20,batch,False,False,random,random,1.0
1,10,20,batch,False,False,random,predictive_entropy,0.0
1,10,20,batch,False,False,random,static_easy_entropy,0.0
1,10,20,batch,False,False,random,self_paced_entropy,0.0
1,10,20,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,20,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,20,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,20,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,20,batch,False,False,static_easy_entropy,self_paced_entropy,0.6666666666666666
1,10,20,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,20,cumulative,False,False,random,random,1.0
1,10,20,cumulative,False,False,random,predictive_entropy,0.05263157894736842
1,10,20,cumulative,False,False,random,static_easy_entropy,0.05263157894736842
1,10,20,cumulative,False,False,random,self_paced_entropy,0.05263157894736842
1,10,20,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,20,cumulative,False,False,predictive_entropy,static_easy_entropy,0.1111111111111111
1,10,20,cumulative,False,False,predictive_entropy,self_paced_entropy,0.1111111111111111
